0.1485558,0,_,_,_,0.02,				RECORDED AT FRAME:5
1,0,_,_,_,0.02,				RECORDED AT FRAME:127
1,0,_,_,_,0.02,				RECORDED AT FRAME:128
1,0,_,_,_,0.02,				RECORDED AT FRAME:128
1,0,_,_,_,0.02,				RECORDED AT FRAME:129
1,0,_,_,_,0.02,				RECORDED AT FRAME:130
1,0,_,_,_,0.02,				RECORDED AT FRAME:131
1,0,_,_,_,0.02,				RECORDED AT FRAME:131
1,0,_,_,_,0.02,				RECORDED AT FRAME:132
1,0,_,_,_,0.02,				RECORDED AT FRAME:133
1,0,_,_,_,0.02,				RECORDED AT FRAME:134
1,0,_,_,_,0.02,				RECORDED AT FRAME:134
1,0,_,_,_,0.02,				RECORDED AT FRAME:135
1,0,_,_,_,0.02,				RECORDED AT FRAME:136
1,0,_,_,_,0.02,				RECORDED AT FRAME:137
1,0,_,_,_,0.02,				RECORDED AT FRAME:138
1,0,_,_,_,0.02,				RECORDED AT FRAME:139
1,0,_,_,_,0.02,				RECORDED AT FRAME:140
1,0,_,_,_,0.02,				RECORDED AT FRAME:141
1,0,_,_,_,0.02,				RECORDED AT FRAME:142
1,0,_,_,_,0.02,				RECORDED AT FRAME:143
1,0,_,_,_,0.02,				RECORDED AT FRAME:144
1,0,_,_,_,0.02,				RECORDED AT FRAME:145
1,0,_,_,_,0.02,				RECORDED AT FRAME:146
1,0,_,_,_,0.02,				RECORDED AT FRAME:147
1,0,_,_,_,0.02,				RECORDED AT FRAME:148
1,0,_,_,_,0.02,				RECORDED AT FRAME:149
1,0,_,_,_,0.02,				RECORDED AT FRAME:150
1,0,_,_,_,0.02,				RECORDED AT FRAME:150
1,0,_,_,_,0.02,				RECORDED AT FRAME:151
1,0,_,_,_,0.02,				RECORDED AT FRAME:152
1,0,_,_,_,0.02,				RECORDED AT FRAME:153
1,0,_,_,_,0.02,				RECORDED AT FRAME:154
1,0,_,_,_,0.02,				RECORDED AT FRAME:155
1,0,_,_,_,0.02,				RECORDED AT FRAME:156
1,0,_,_,_,0.02,				RECORDED AT FRAME:157
1,0,_,_,_,0.02,				RECORDED AT FRAME:158
1,0,_,_,_,0.02,				RECORDED AT FRAME:159
1,0,_,_,_,0.02,				RECORDED AT FRAME:160
1,0,_,_,_,0.02,				RECORDED AT FRAME:161
1,0,_,_,_,0.02,				RECORDED AT FRAME:162
1,0,_,_,_,0.02,				RECORDED AT FRAME:162
1,0,_,_,_,0.02,				RECORDED AT FRAME:163
1,0,_,_,_,0.02,				RECORDED AT FRAME:164
1,0,_,_,_,0.02,				RECORDED AT FRAME:165
1,0,_,_,_,0.02,				RECORDED AT FRAME:166
1,0,_,_,_,0.02,				RECORDED AT FRAME:167
1,0,_,_,_,0.02,				RECORDED AT FRAME:168
1,0,_,_,_,0.02,				RECORDED AT FRAME:169
1,0,_,_,_,0.02,				RECORDED AT FRAME:170
1,0,Jump,_,_,0.02,				RECORDED AT FRAME:171
1,0,Jump,_,_,0.02,				RECORDED AT FRAME:171
1,0,_,_,_,0.02,				RECORDED AT FRAME:172
1,0,_,_,_,0.02,				RECORDED AT FRAME:173
1,0,_,_,_,0.02,				RECORDED AT FRAME:174
1,0,_,_,_,0.02,				RECORDED AT FRAME:175
1,0,_,_,_,0.02,				RECORDED AT FRAME:176
1,0,_,_,_,0.02,				RECORDED AT FRAME:176
1,0,_,_,_,0.02,				RECORDED AT FRAME:177
1,0,_,_,_,0.02,				RECORDED AT FRAME:178
1,0,_,_,_,0.02,				RECORDED AT FRAME:179
1,0,_,_,_,0.02,				RECORDED AT FRAME:180
1,0,_,_,_,0.02,				RECORDED AT FRAME:181
1,0,_,_,_,0.02,				RECORDED AT FRAME:182
1,0,_,_,_,0.02,				RECORDED AT FRAME:182
1,0,_,_,_,0.02,				RECORDED AT FRAME:183
1,0,_,_,_,0.02,				RECORDED AT FRAME:184
1,0,_,_,_,0.02,				RECORDED AT FRAME:185
1,0,_,_,_,0.02,				RECORDED AT FRAME:185
1,0,_,_,_,0.02,				RECORDED AT FRAME:186
1,0,_,_,_,0.02,				RECORDED AT FRAME:187
1,0,_,_,_,0.02,				RECORDED AT FRAME:188
1,0,_,_,_,0.02,				RECORDED AT FRAME:189
1,0,_,_,_,0.02,				RECORDED AT FRAME:190
1,0,_,_,_,0.02,				RECORDED AT FRAME:191
1,0,_,_,_,0.02,				RECORDED AT FRAME:192
1,0,_,_,_,0.02,				RECORDED AT FRAME:193
1,0,_,_,_,0.02,				RECORDED AT FRAME:194
1,0,_,_,_,0.02,				RECORDED AT FRAME:194
0.9085239,0,_,_,_,0.02,				RECORDED AT FRAME:195
0.8269951,0,_,_,_,0.02,				RECORDED AT FRAME:196
0.7737898,0,_,_,_,0.02,				RECORDED AT FRAME:197
0.7056535,0,_,_,_,0.02,				RECORDED AT FRAME:198
0.6373335,0,_,_,_,0.02,				RECORDED AT FRAME:199
0.6373335,0,_,_,_,0.02,				RECORDED AT FRAME:199
0.5633306,0,_,_,_,0.02,				RECORDED AT FRAME:200
0.4737899,0,_,_,_,0.02,				RECORDED AT FRAME:201
0.4095232,0,_,_,_,0.02,				RECORDED AT FRAME:202
0.480946,0,_,_,_,0.02,				RECORDED AT FRAME:203
0.5471362,0,_,_,_,0.02,				RECORDED AT FRAME:204
0.6037194,0,_,_,_,0.02,				RECORDED AT FRAME:205
0.6037194,0,_,_,_,0.02,				RECORDED AT FRAME:205
0.6734272,0,_,_,_,0.02,				RECORDED AT FRAME:206
0.7711267,0,_,_,_,0.02,				RECORDED AT FRAME:207
